"";"position";"plate_position";"tray";"pot";"genotype";"treatment";"weight.only.";"weight";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"hits_ratio";"bacterial_load"
"67";"11_25";"p4_D12";11;25;"Lu";"#3";NA;194;0,000784124259908442;0,000269542714343527;0,000122519415610694;0,000441069896198499;0,000392062129954221;0,00176427958479399;0,00061259707805347;0,000514581545564915;0,000171527181854972;0,000514581545564915;0,000882139792396997;0,00115168250674053;0,000245038831221388;0,00321000868900019;0,312286;0,0110757551712067
"382";"3_44";"p1_H8";3;44;"Lu";"#3";NA;245;0,000502829792554721;0,000335219861703148;0;0,000083804965425787;0,00310078372075412;0,00310078372075412;0,000419024827128935;0,000586634757980509;0,000502829792554721;0,000754244688832083;0,000921854619683656;0,00083804965425787;0,000251414896277361;0,00234653903192203;0,0807703;0,0137440143298291
"152";"15_14";"p5_G5";15;14;"Lu";"#3";NA;168;0,000394279769950048;0,000394279769950048;0,00118283930985014;0,000492849712437559;0,00354851792955044;0,0129126624658641;0,00206996879223775;0;0;0;0;0,000492849712437559;0;0,00206996879223775;0,0124524;0,0235582162545153
"179";"16_32";"p6_C2";16;32;"Lu";"#3";NA;265;0,00109596676319023;0,000469700041367242;0,00109596676319023;0,00109596676319023;0,00391416701139367;0,00547983381595113;0,00344446697002643;0,00172223348501322;0,000469700041367242;0,00172223348501322;0,00422730037230517;0,0023485002068362;0,00140910012410172;0,0126819011169155;0,000625772;0,0411770369598614
"3";"1_13";"p1_A5";1;13;"Lu";"#3";NA;163;0,0010076903375203;0,0020153806750406;0,000467856228134426;0,00125961292190038;0,0102928370189574;0,0245084685661188;0,000899723515643128;0,000827745634391679;0,000503845168760151;0,00118763504064893;0,00122362398127466;0,00151153550628045;0,000503845168760151;0,00356290512194679;0,0426686;0,0497727048853778
"429";"7_19";"p3_A11";7;19;"Lu";"#3";NA;215;0,0069518480512504;0,00217245251601575;0,000579320670937533;0,0017379620128126;0,00651735754804724;0,0230279966697669;0,00999328157367247;0,00159313184507821;0,000868981006406301;0,00231728268375014;0,00304143352242205;0,00564837654164094;0,00130347150960945;0,0130347150960945;0,0660269;0,0787876112475045
"456";"8_26";"p3_D9";8;26;"Lu";"#3";NA;190;0,0110559585638898;0,00260140201503289;0;0,00130070100751645;0,0130070100751645;0,0227622676315378;0,005853154533824;0,00195105151127467;0,000650350503758222;0,005853154533824;0,00650350503758222;0,0104056080601316;0,00260140201503289;0,0383706797217351;0,493445;0,122916245210304
"264";"2_21";"p1_D9";2;21;"Lu";"#3";NA;192;0,0028331568630893;0,00011971085336997;0,000917783209169772;0,00167595194717958;0,00247402430297939;0,0300474241958626;0,00271344600971933;0,0015961447115996;0,00207498812507948;0,00203508450728949;0,0509170163000273;0,00339180751214915;0,000399036177899902;0,0593765832715053;0,0551609;0,16057215798692
"36";"10_27";"p4_B4";10;27;"Lu";"#3";NA;126;0,00658238312022894;0,00244665938619831;0,00215479900256551;0,00555155708441952;0,0388112212277649;0,199216446113269;0,0037320870332619;0,00784297158570676;0,00214237941177263;0,0140030886189776;0,012506527928435;0,0128170176982571;0,00582478808186299;0,0495106986958352;0,348527;0,363142624988555
"493";"9_44";"p3_H7";9;44;"Lu";"#3";NA;182;0,0182310914594536;0,00489538566966809;0,00371374085285164;0,00928435213212911;0,158678018258207;1,00625496472039;0,0334236676756648;0,0131668993873831;0,0032073216456446;0,0268402179819733;0,024308121945938;0,030553958834825;0,00708986890089859;0,273803984696607;0,0232476;1,61345159416164
