tray;pot;weight only;weight;position
8;17;WEIGHT;0.24097;8_17
8;18;;0.121;8_18
8;19;;0.166;8_19
8;20;;0.242;8_20
8;21;;0.141;8_21
8;22;;0.288;8_22
8;23;;0.167;8_23
8;24;WEIGHT;0.176;8_24
8;25;;0.154;8_25
8;26;WEIGHT;0.157;8_26
8;27;WEIGHT;0.198;8_27
8;28;;0.407;8_28
8;29;;0.109;8_29
8;30;;0.114;8_30
8;31;;0.157;8_31
8;32;;0.183;8_32
8;33;;0.111;8_33
8;34;;0.209;8_34
8;35;;0.052;8_35
8;36;;0.259;8_36
8;37;;0.246;8_37
8;38;WEIGHT;0.166;8_38
8;39;;0.212;8_39
8;40;;0.153;8_40
8;41;;0.117;8_41
8;42;;0.266;8_42
8;43;;0.164;8_43
8;44;;0.248;8_44
8;45;;0.135;8_45
8;46;WEIGHT;0.173;8_46
8;47;;0.127;8_47
8;48;;0.037;8_48
9;1;;0.083;9_1
9;2;;0.181;9_2
9;3;WEIGHT;0.125;9_3
9;4;;0.081;9_4
9;5;WEIGHT;0.17;9_5
9;6;;0.153;9_6
9;7;;0.241;9_7
9;8;;0.15;9_8
9;9;;0.169;9_9
9;10;;0.156;9_10
9;11;;0.09;9_11
9;12;;0.081;9_12
9;13;;0.205;9_13
9;14;;0.118;9_14
9;15;WEIGHT;0.164;9_15
9;16;;0.14;9_16
9;17;;0.113;9_17
9;18;;0.253;9_18
9;19;;0.128;9_19
9;20;;0.121;9_20
9;21;;0.072;9_21
9;22;;0.176;9_22
9;23;;0.068;9_23
9;24;WEIGHT;0.165;9_24
9;25;;0.13;9_25
9;26;WEIGHT;0.157;9_26
9;27;;0.131;9_27
9;28;;0.121;9_28
9;29;;0.121;9_29
9;30;WEIGHT;0.167;9_30
9;31;;0.255;9_31
9;32;;0.164;9_32
9;33;;0.153;9_33
9;34;;0.031;9_34
9;35;WEIGHT;0.072;9_35
9;36;;0.168;9_36
9;37;WEIGHT;0.17;9_37
9;38;;0.156;9_38
9;39;;0.221;9_39
9;40;;0.083;9_40
9;41;;0.051;9_41
9;42;;0.138;9_42
9;43;;0.234;9_43
9;44;WEIGHT;0.093;9_44
9;45;WEIGHT;0.10011;9_45
9;46;;0.266;9_46
9;47;;0.07315;9_47
9;48;;0.262;9_48
10;1;;0.107;10_1
10;2;;0.163;10_2
10;3;;0.116;10_3
10;4;;0.162;10_4
10;5;WEIGHT;0.15;10_5
10;6;WEIGHT;0.111;10_6
10;7;WEIGHT;0.181;10_7
10;8;;0.097;10_8
10;9;;0.165;10_9
10;10;;0.211;10_10
10;11;;0.125;10_11
10;12;;0.191;10_12
10;13;WEIGHT;0.151;10_13
10;14;;0.1997;10_14
10;15;;0.314;10_15
10;16;WEIGHT;0.167;10_16
10;17;;0.199;10_17
10;18;;0.149;10_18
10;19;;0.114;10_19
10;20;;0.254;10_20
10;21;;0.221;10_21
10;22;;0.112;10_22
10;23;;0.242;10_23
10;24;WEIGHT;0.143;10_24
10;25;WEIGHT;0.044;10_25
10;26;;0.149;10_26
10;27;;0.197;10_27
10;28;;0.278;10_28
10;29;;0.226;10_29
10;30;;0.044;10_30
10;31;;0.115;10_31
10;32;;0.179;10_32
10;33;;0.131;10_33
10;34;WEIGHT;0.192;10_34
10;35;;0.326;10_35
10;36;WEIGHT;0.166;10_36
10;37;;0.124;10_37
10;38;;0.191;10_38
10;39;;0.176;10_39
10;40;;0.174;10_40
10;41;;0.151;10_41
10;42;;0.164;10_42
10;43;;0.323;10_43
10;44;WEIGHT;0.267;10_44
10;45;;0.033;10_45
10;46;;0.043;10_46
10;47;;0.287;10_47
10;48;;0.315;10_48
11;1;;0.178;11_1
11;2;;0.093;11_2
11;3;;0.059;11_3
11;4;;0.241;11_4
11;5;;0.207;11_5
11;6;;0.259;11_6
11;7;;0.149;11_7
11;8;;0.042;11_8
11;9;WEIGHT;0.189;11_9
11;10;;0.113;11_10
11;11;;0.132;11_11
11;12;;0.082;11_12
11;13;;0.099;11_13
11;14;;0.143;11_14
11;15;;0.153;11_15
11;16;;0.193;11_16
11;17;;0.236;11_17
11;18;WEIGHT;0.06;11_18
11;19;WEIGHT;0.115;11_19
11;20;;0.14;11_20
11;21;;0.244;11_21
11;22;WEIGHT;0.122;11_22
11;23;;0.247;11_23
11;24;;0.175;11_24
11;25;;0.095;11_25
11;26;WEIGHT;0.263;11_26
11;27;;0.231;11_27
11;28;;0.033;11_28
11;29;WEIGHT;0.154;11_29
11;30;;0.121;11_30
11;31;;0.252;11_31
11;32;WEIGHT;0.198;11_32
11;33;;0.216;11_33
11;34;WEIGHT;0.175;11_34
11;35;;0.077;11_35
11;36;;0.247;11_36
11;37;;0.24;11_37
11;38;;0.204;11_38
11;39;WEIGHT;0.127;11_39
11;40;;0.123;11_40
11;41;;0.187;11_41
11;42;;0.156;11_42
11;43;;0.084;11_43
11;44;;0.201;11_44
11;45;;0.079;11_45
11;46;;0.206;11_46
11;47;WEIGHT;0.262;11_47
11;48;;0.268;11_48
12;1;;0.072;12_1
12;2;;0.138;12_2
12;3;;0.184;12_3
12;4;WEIGHT;0.109;12_4
12;5;;0.152;12_5
12;6;;0.103;12_6
12;7;;0.119;12_7
12;8;;0.139;12_8
12;9;;0.192;12_9
12;10;WEIGHT;0.095;12_10
12;11;;0.196;12_11
12;12;;0.038;12_12
12;13;;0.109;12_13
12;14;;0.146;12_14
12;15;;0.224;12_15
12;16;;0.116;12_16
12;17;;0.152;12_17
12;18;;0.127;12_18
12;19;;0.17;12_19
12;20;;0.175;12_20
12;21;;0.159;12_21
12;22;;0.125;12_22
12;23;;0.215;12_23
12;24;WEIGHT;0.054;12_24
12;25;;0.178;12_25
12;26;WEIGHT;0.077;12_26
12;27;WEIGHT;0.203;12_27
12;28;WEIGHT;0.141;12_28
12;29;WEIGHT;0.162;12_29
12;30;;0.048;12_30
12;31;;0.132;12_31
12;32;;0.191;12_32
12;33;;0.135;12_33
12;34;WEIGHT;0.219;12_34
12;35;;0.252;12_35
12;36;WEIGHT;0.213;12_36
12;37;;0.132;12_37
12;38;;0.21;12_38
12;39;;0.227;12_39
12;40;;0.204;12_40
12;41;;0.126;12_41
12;42;;0.144;12_42
12;43;WEIGHT;0.099;12_43
12;44;;0.121;12_44
12;45;;0.129;12_45
12;46;;0.144;12_46
12;47;;0.159;12_47
12;48;;0.054;12_48
13;1;;0.036;13_1
13;2;;0.169;13_2
13;3;;0.137;13_3
13;4;;0.205;13_4
13;5;;0.105;13_5
13;6;;0.131;13_6
13;7;WEIGHT;0.188;13_7
13;8;;0.039;13_8
13;9;WEIGHT;0.125;13_9
13;10;;0.077;13_10
13;11;WEIGHT;0.206;13_11
13;12;;0.191;13_12
13;13;WEIGHT;0.174;13_13
13;14;;0.11;13_14
13;15;;0.198;13_15
13;16;;0.062;13_16
13;17;WEIGHT;0.11;13_17
13;18;;0.088;13_18
13;19;;0.16;13_19
13;20;;0.118;13_20
13;21;;0.123;13_21
13;22;;0.112;13_22
13;23;;0.158;13_23
13;24;WEIGHT;0.126;13_24
13;25;;0.236;13_25
13;26;;0.132;13_26
13;27;WEIGHT;0.147;13_27
13;28;WEIGHT;0.088;13_28
13;29;;0.181;13_29
13;30;;0.163;13_30
13;31;;0.271;13_31
13;32;;0.185;13_32
13;33;;0.0298;13_33
13;34;;0.111;13_34
13;35;;0.348;13_35
13;36;;0.258;13_36
13;37;;0.177;13_37
13;38;;0.107;13_38
13;39;;0.093;13_39
13;40;;0.081;13_40
13;41;WEIGHT;0.047;13_41
13;43;;0.297;13_43
13;44;WEIGHT;0.206;13_44
13;45;;0.2;13_45
13;46;;0.273;13_46
13;47;;0.201;13_47
13;48;;0.114;13_48
14;1;WEIGHT;0.046;14_1
14;2;;0.18;14_2
14;3;;0.25;14_3
14;4;;0.106;14_4
14;5;;0.189;14_5
14;6;WEIGHT;0.179;14_6
14;7;;0.222;14_7
14;8;;0.158;14_8
14;9;;0.063;14_9
14;10;;0.125;14_10
14;11;WEIGHT;0.197;14_11
14;12;;0.074;14_12
14;13;;0.054;14_13
14;14;;0.225;14_14
14;15;WEIGHT;0.089;14_15
14;16;;0.115;14_16
14;17;;0.025;14_17
14;18;;0.139;14_18
14;19;;0.132;14_19
14;20;;0.136;14_20
14;21;;0.159;14_21
14;22;;0.173;14_22
14;23;;0.17;14_23
14;24;;0.152;14_24
14;25;;0.172;14_25
14;26;;0.126;14_26
14;27;WEIGHT;0.125;14_27
14;28;;0.084;14_28
14;29;WEIGHT;0.104;14_29
14;30;;0.238;14_30
14;31;;0.106;14_31
14;32;WEIGHT;0.094;14_32
14;33;;0.289;14_33
14;34;;0.081;14_34
14;35;;0.105;14_35
14;36;;0.183;14_36
14;37;;0.179;14_37
14;38;WEIGHT;0.125;14_38
14;39;;0.149;14_39
14;40;;0.142;14_40
14;41;;0.04006;14_41
14;42;WEIGHT;0.107;14_42
14;43;;0.034;14_43
14;44;WEIGHT;0.176;14_44
14;45;;0.155;14_45
14;46;;0.265;14_46
14;47;;0.159;14_47
14;48;;0.14;14_48
15;1;WEIGHT;0.038;15_1
15;2;;0.217;15_2
15;3;WEIGHT;0.11;15_3
15;4;;0.179;15_4
15;5;;0.135;15_5
15;6;;0.115;15_6
15;7;;0.088;15_7
15;8;;0.158;15_8
15;9;;0.184;15_9
15;10;WEIGHT;0.182;15_10
15;11;;0.188;15_11
15;12;;0.186;15_12
15;13;WEIGHT;0.108;15_13
15;14;;0.189;15_14
15;15;;0.169;15_15
15;16;;0.207;15_16
15;17;;0.064;15_17
15;18;;0.069;15_18
15;19;;0.044;15_19
15;20;;0.16;15_20
15;21;;0.167;15_21
15;22;;0.232;15_22
15;23;WEIGHT;0.263;15_23
15;24;;0.135;15_24
15;25;;0.146;15_25
15;26;;0.189;15_26
15;27;;0.19;15_27
15;28;;0.034;15_28
15;29;WEIGHT;0.168;15_29
15;30;WEIGHT;0.14;15_30
15;31;WEIGHT;0.258;15_31
15;32;;0.107;15_32
15;33;;0.079;15_33
15;34;WEIGHT;0.272;15_34
15;35;;0.087;15_35
15;36;;0.187;15_36
15;37;;0.256;15_37
15;38;;0.239;15_38
15;39;;0.083;15_39
15;40;;0.121;15_40
15;41;;0.115;15_41
15;42;;0.117;15_42
15;43;;0.093;15_43
15;44;;0.179;15_44
15;45;;0.111;15_45
15;46;;0.095;15_46
15;47;;0.031;15_47
15;48;WEIGHT;0.144;15_48
16;1;;0.173;16_1
16;2;;0.099;16_2
16;3;;0.188;16_3
16;4;;0.151;16_4
16;5;;0.121;16_5
16;6;;0.173;16_6
16;7;;0.032;16_7
16;8;;0.07;16_8
16;9;;0.186;16_9
16;10;;0.064;16_10
16;11;;0.245;16_11
16;12;;0.122;16_12
16;13;;0.136;16_13
16;14;;0.144;16_14
16;15;WEIGHT;0.11;16_15
16;16;WEIGHT;0.119;16_16
16;17;;0.171;16_17
16;18;;0.145;16_18
16;19;;0.25;16_19
16;20;WEIGHT;0.154;16_20
16;21;;0.217;16_21
16;22;;0.171;16_22
16;23;;0.194;16_23
16;24;;0.139;16_24
16;25;;0.05;16_25
16;26;WEIGHT;0.2;16_26
16;27;;0.1;16_27
16;28;;0.235;16_28
16;29;;0.24;16_29
16;30;WEIGHT;0.245;16_30
16;31;WEIGHT;0.154;16_31
16;32;;0.097;16_32
16;33;;0.099;16_33
16;34;WEIGHT;0.032;16_34
16;35;;0.143;16_35
16;36;WEIGHT;0.136;16_36
16;37;;0.242;16_37
16;38;;0.143;16_38
16;39;WEIGHT;0.19;16_39
16;40;;0.025;16_40
16;41;;0.16;16_41
16;42;;0.179;16_42
16;43;;0.261;16_43
16;44;;0.11;16_44
16;45;WEIGHT;0.204;16_45
16;46;;0.12;16_46
16;47;;0.148;16_47
16;48;;0.158;16_48
17;1;;0.099;17_1
17;2;;0.135;17_2
17;3;;0.086;17_3
17;4;;0.13;17_4
17;5;;0.128;17_5
17;6;;0.139;17_6
17;7;;0.189;17_7
17;8;;0.222;17_8
17;9;;0.159;17_9
17;10;;0.132;17_10
17;11;;0.143;17_11
17;12;WEIGHT;0.102;17_12
17;13;;0.048;17_13
17;14;;0.129;17_14
17;15;;0.038;17_15
17;16;WEIGHT;0.094;17_16
17;17;;0.155;17_17
17;18;;0.226;17_18
17;19;;0.201;17_19
17;20;;0.156;17_20
17;21;WEIGHT;0.181;17_21
17;22;;0.121;17_22
17;23;;0.115;17_23
17;24;;0.308;17_24
17;25;;0.152;17_25
17;26;;0.108;17_26
17;27;WEIGHT;0.187;17_27
17;28;WEIGHT;0.105;17_28
17;29;;0.145;17_29
17;30;;0.13;17_30
17;31;;0.135;17_31
17;32;;0.109;17_32
17;33;WEIGHT;0.063;17_33
17;34;WEIGHT;0.081;17_34
17;35;WEIGHT;0.09;17_35
17;36;;0.216;17_36
17;37;;0.207;17_37
17;38;;0.122;17_38
17;39;;0.044;17_39
17;40;;0.214;17_40
17;41;;0.204;17_41
17;42;;0.193;17_42
17;43;;0.205;17_43
17;44;WEIGHT;0.325;17_44
17;45;WEIGHT;0.256;17_45
17;46;;0.133;17_46
17;47;;0.397;17_47
17;48;;0.058;17_48
18;1;;0.136;18_1
18;2;;0.086;18_2
18;3;;0.101;18_3
18;4;WEIGHT;0.161;18_4
18;5;WEIGHT;0.191;18_5
18;6;;0.182;18_6
18;7;;0.195;18_7
18;8;;0.256;18_8
18;9;WEIGHT;0.188;18_9
18;10;;0.301;18_10
18;11;;0.177;18_11
18;12;;0.277;18_12
18;13;WEIGHT;0.206;18_13
18;14;;0.153;18_14
18;15;WEIGHT;0.093;18_15
18;16;;0.05;18_16
18;17;;0.282;18_17
18;18;;0.267;18_18
18;19;;0.208;18_19
18;20;;0.215;18_20
18;21;;0.135;18_21
18;22;;0.153;18_22
18;23;;0.166;18_23
18;24;;0.139;18_24
18;25;WEIGHT;0.142;18_25
18;26;WEIGHT;0.123;18_26
18;27;;0.235;18_27
18;28;;0.132;18_28
18;29;;0.174;18_29
18;30;WEIGHT;0.217;18_30
18;31;;0.06;18_31
18;32;;0.237;18_32
18;33;;0.117;18_33
18;34;;0.055;18_34
18;35;;0.087;18_35
18;36;;0.205;18_36
18;37;;0.26;18_37
18;38;;0.146;18_38
18;39;;0.149;18_39
18;40;;0.121;18_40
18;41;;0.209;18_41
18;42;;0.194;18_42
18;43;WEIGHT;0.053;18_43
18;44;;0.153;18_44
18;45;WEIGHT;0.284;18_45
18;46;;0.227;18_46
18;47;;0.204;18_47
18;48;;0.146;18_48
19;1;;0.185;19_1
19;2;;0.221;19_2
19;3;WEIGHT;0.058;19_3
19;4;;0.148;19_4
19;5;;0.26;19_5
19;6;;0.23;19_6
19;7;;0.112;19_7
19;8;;0.167;19_8
19;9;;0.186;19_9
19;10;;0.215;19_10
19;11;;0.053;19_11
19;12;WEIGHT;0.177;19_12
19;13;;0.275;19_13
19;14;;0.101;19_14
19;15;WEIGHT;0.248;19_15
19;16;;0.051;19_16
19;17;;0.148;19_17
19;18;;0.201;19_18
19;19;;0.108;19_19
19;20;;0.122;19_20
19;21;;0.189;19_21
19;22;;0.171;19_22
19;23;;0.154;19_23
19;24;;0.121;19_24
19;25;;0.114;19_25
19;26;;0.217;19_26
19;27;WEIGHT;0.191;19_27
19;28;WEIGHT;0.132;19_28
19;29;;0.053;19_29
19;30;;0.236;19_30
19;31;;0.238;19_31
19;32;;0.146;19_32
19;33;WEIGHT;0.229;19_33
19;34;;0.129;19_34
19;35;;0.252;19_35
19;36;;0.229;19_36
19;37;;0.24;19_37
19;38;;0.148;19_38
19;39;;0.167;19_39
19;40;WEIGHT;0.243;19_40
19;41;;0.245;19_41
19;42;;0.143;19_42
19;43;WEIGHT;0.235;19_43
19;44;;0.262;19_44
19;45;;0.179;19_45
19;46;;0.203;19_46
19;47;WEIGHT;0.093;19_47
19;48;WEIGHT;0.104;19_48
20;1;;0.126;20_1
20;2;;0.116;20_2
20;3;;0.288;20_3
20;4;;0.322;20_4
20;5;;0.05;20_5
20;6;;0.192;20_6
20;7;WEIGHT;0.045;20_7
20;8;WEIGHT;0.146;20_8
20;9;;0.115;20_9
20;10;;0.114;20_10
20;11;;0.265;20_11
20;12;;0.177;20_12
20;13;;0.091;20_13
20;14;;0.071;20_14
20;15;WEIGHT;0.181;20_15
20;16;;0.037;20_16
20;17;;0.18;20_17
20;18;;0.178;20_18
20;19;;0.106;20_19
20;20;;0.228;20_20
20;21;;0.127;20_21
20;22;WEIGHT;0.244;20_22
20;23;;0.188;20_23
20;24;;0.098;20_24
20;25;;0.201;20_25
20;26;;0.145;20_26
20;27;;0.132;20_27
20;28;;0.123;20_28
20;29;WEIGHT;0.21;20_29
20;30;;0.134;20_30
20;31;;0.082;20_31
20;32;;0.216;20_32
20;33;;0.193;20_33
20;34;WEIGHT;0.13;20_34
20;35;;0.137;20_35
20;36;;0.252;20_36
20;37;;0.138;20_37
20;38;;0.132;20_38
20;39;WEIGHT;0.081;20_39
20;40;WEIGHT;0.132;20_40
20;41;;0.192;20_41
20;42;WEIGHT;0.169;20_42
20;43;;0.171;20_43
20;44;;0.117;20_44
20;45;;0.16;20_45
20;46;;0.169;20_46
20;47;WEIGHT;0.206;20_47
20;48;;0.048;20_48
21;1;;0.201;21_1
21;2;;0.139;21_2
21;3;WEIGHT;0.102;21_3
21;4;;0.206;21_4
21;5;;0.183;21_5
21;6;WEIGHT;0.26;21_6
21;7;;0.33;21_7
21;8;;0.211;21_8
21;9;;0.279;21_9
21;10;;0.278;21_10
21;11;;0.278;21_11
21;12;;0.256;21_12
21;13;;0.168;21_13
21;14;;0.205;21_14
21;15;;0.341;21_15
21;16;;0.061;21_16
21;17;;0.066;21_17
21;18;;0.198;21_18
21;19;;0.057;21_19
21;20;;0.325;21_20
21;21;;0.331;21_21
21;22;;0.255;21_22
21;23;;0.253;21_23
