tray;pot;position;genotype;treatment
5;39;5_39;Tu-Wal_acd6;#1
5;4;5_4;Tu-Wal_ics1;#1
5;40;5_40;Tu-Wal_acd6;#2
5;41;5_41;HE;#1
5;42;5_42;HE;#1+s17
5;43;5_43;HE;#1+s14
5;44;5_44;Col0;#1
5;45;5_45;Kus;#2
5;46;5_46;Col0;#3
5;47;5_47;Col0_acd6;#2
5;48;5_48;Schl;Control
5;5;5_5;sid2-2;#1
5;6;5_6;Tu-Wal_ics1;#3
5;7;5_7;Eyach;#1
5;8;5_8;HE;#3
5;9;5_9;Tu-Wal_ics1;#2
6;1;6_1;Col0;#3
6;10;6_10;HE;#1+s15
6;11;6_11;Tu-Wal_ics1;#1
6;12;6_12;sid2-2;Control
6;13;6_13;HE;Control
6;14;6_14;Lu;#2
6;15;6_15;Lu;Control
6;16;6_16;Col0_acd6;#1
6;17;6_17;sid2-2;#3
6;18;6_18;Kus;#1
6;19;6_19;Eyach;#1
6;2;6_2;Eyach;#3
6;20;6_20;Col0;#1
6;21;6_21;Tu-Wal;#2
6;22;6_22;Tu-Wal_acd6;#2
6;23;6_23;Schl;#2
6;24;6_24;HE;#3
6;25;6_25;HE;#1
6;26;6_26;HE;#1+s13
6;27;6_27;Kus;Control
6;28;6_28;Eyach;#2
6;29;6_29;Col0_acd6;#2
6;3;6_3;HE;#2
6;30;6_30;HE;#1+s17
6;31;6_31;Kus;#3
6;32;6_32;Tu-Wal_acd6;#1
6;33;6_33;Lu;#1
6;34;6_34;HE;#1+s14
6;35;6_35;Eyach;Control
6;36;6_36;Tu-Wal;#3
6;37;6_37;sid2-2;#2
6;38;6_38;Tu-Wal_acd6;Control
6;39;6_39;Tu-Wal_ics1;#2
6;4;6_4;Col0_acd6;Control
6;40;6_40;Tu-Wal;Control
6;41;6_41;Tu-Wal_acd6;#3
6;42;6_42;Tu-Wal_ics1;#3
6;43;6_43;Schl;#1
6;44;6_44;Col0;#2
6;45;6_45;Schl;#3
6;46;6_46;Lu;#3
6;47;6_47;Col0_acd6;#3
6;48;6_48;Col0;Control
6;5;6_5;Tu-Wal_ics1;Control
6;6;6_6;Schl;Control
6;7;6_7;Tu-Wal;#1
6;8;6_8;Kus;#2
6;9;6_9;sid2-2;#1
7;1;7_1;Schl;#2
7;10;7_10;Col0_acd6;#2
7;11;7_11;Tu-Wal_acd6;Control
7;12;7_12;Lu;Control
7;13;7_13;HE;#3
7;14;7_14;Col0;#3
7;15;7_15;Tu-Wal_acd6;#3
7;16;7_16;HE;#1+s17
7;17;7_17;HE;#1+s15
7;18;7_18;sid2-2;Control
7;19;7_19;Schl;#3
7;2;7_2;HE;#1+s14
7;20;7_20;HE;#1
7;21;7_21;Eyach;#2
7;22;7_22;Kus;#1
7;23;7_23;Tu-Wal_ics1;#2
7;24;7_24;Tu-Wal_ics1;Control
7;25;7_25;HE;Control
7;26;7_26;Schl;Control
7;27;7_27;Col0;#2
7;28;7_28;Col0_acd6;Control
7;29;7_29;HE;#2
7;3;7_3;sid2-2;#3
7;30;7_30;Eyach;#1
7;31;7_31;Kus;Control
7;32;7_32;Tu-Wal_acd6;#2
7;33;7_33;Tu-Wal_ics1;#1
7;34;7_34;Tu-Wal_ics1;#3
7;35;7_35;Tu-Wal_acd6;#1
7;36;7_36;sid2-2;#1
7;37;7_37;Col0;#1
7;38;7_38;Lu;#2
7;39;7_39;sid2-2;#2
7;4;7_4;Lu;#1
7;40;7_40;HE;#1+s13
7;41;7_41;Eyach;#3
7;42;7_42;Tu-Wal;#2
7;43;7_43;Tu-Wal;#3
7;44;7_44;Lu;#3
7;45;7_45;Tu-Wal;Control
7;46;7_46;Col0_acd6;#3
7;47;7_47;Eyach;Control
7;48;7_48;Col0;Control
7;5;7_5;Tu-Wal;#1
7;6;7_6;Kus;#3
7;7;7_7;Kus;#2
7;8;7_8;Col0_acd6;#1
7;9;7_9;Schl;#1
8;1;8_1;Tu-Wal_ics1;Control
8;10;8_10;Tu-Wal;Control
8;11;8_11;Schl;#3
8;12;8_12;Col0;#1
8;13;8_13;Lu;#1
8;14;8_14;HE;#3
8;15;8_15;sid2-2;#2
8;16;8_16;Eyach;Control
8;17;8_17;Kus;Control
8;18;8_18;Tu-Wal_ics1;#1
8;19;8_19;Col0_acd6;#1
8;2;8_2;Col0;#2
8;20;8_20;Col0;#3
8;21;8_21;Eyach;#2
8;22;8_22;Kus;#2
8;23;8_23;Kus;#1
8;24;8_24;Col0_acd6;Control
8;25;8_25;Tu-Wal_ics1;#2
8;26;8_26;sid2-2;Control
8;27;8_27;HE;Control
8;28;8_28;HE;#1+s15
8;29;8_29;Eyach;#1
8;3;8_3;Kus;#3
8;30;8_30;sid2-2;#1
8;31;8_31;Tu-Wal_ics1;#3
8;32;8_32;Col0_acd6;#3
8;33;8_33;Schl;#2
8;34;8_34;Tu-Wal_acd6;#3
8;35;8_35;Tu-Wal;#2
8;36;8_36;Lu;#3
8;37;8_37;HE;#2
8;38;8_38;Tu-Wal_acd6;Control
8;39;8_39;Col0_acd6;#2
8;4;8_4;HE;#1+s13
8;40;8_40;sid2-2;#3
8;41;8_41;Eyach;#3
8;42;8_42;HE;#1+s14
8;43;8_43;Tu-Wal_acd6;#2
8;44;8_44;Lu;#2
8;45;8_45;HE;#1
8;46;8_46;Lu;Control
8;47;8_47;Tu-Wal_acd6;#1
8;48;8_48;Tu-Wal;#3
8;5;8_5;Tu-Wal;#1
8;6;8_6;Col0;Control
8;7;8_7;HE;#1+s17
8;8;8_8;Schl;Control
8;9;8_9;Schl;#1
9;1;9_1;Tu-Wal_ics1;#1
9;10;9_10;Lu;#3
9;11;9_11;Tu-Wal_acd6;#1
9;12;9_12;Kus;#1
9;13;9_13;Lu;#1
9;14;9_14;HE;#3
9;15;9_15;Kus;Control
9;16;9_16;Col0;Control
9;17;9_17;Schl;#3
9;18;9_18;HE;#2
9;19;9_19;Schl;#2
9;2;9_2;Lu;#2
9;20;9_20;Eyach;#3
9;21;9_21;Tu-Wal;#1
9;22;9_22;Col0;#1
9;23;9_23;Tu-Wal_ics1;#3
9;24;9_24;HE;Control
9;25;9_25;Eyach;#1
9;26;9_26;Tu-Wal_acd6;Control
9;27;9_27;Col0_acd6;#3
9;28;9_28;sid2-2;#1
9;29;9_29;Col0_acd6;#1
9;3;9_3;sid2-2;Control
9;30;9_30;Lu;Control
9;31;9_31;HE;#1
9;32;9_32;Eyach;#2
9;33;9_33;Col0;#2
9;34;9_34;Tu-Wal;#3
9;35;9_35;Tu-Wal;Control
9;36;9_36;sid2-2;#2
9;37;9_37;Eyach;Control
9;38;9_38;Tu-Wal_acd6;#2
9;39;9_39;HE;#1+s14
9;4;9_4;Tu-Wal_ics1;#2
9;40;9_40;Schl;#1
9;41;9_41;Tu-Wal;#2
9;42;9_42;Tu-Wal_acd6;#3
9;43;9_43;HE;#1+s15
9;44;9_44;Col0_acd6;Control
9;45;9_45;Tu-Wal_ics1;Control
9;46;9_46;Kus;#3
9;47;9_47;sid2-2;#3
9;48;9_48;HE;#1+s13
9;5;9_5;Schl;Control
9;6;9_6;Kus;#2
9;7;9_7;HE;#1+s17
9;8;9_8;Col0_acd6;#2
9;9;9_9;Col0;#3
