tray;pot;position;genotype;treatment
12;21;12_21;Col0;#1
12;22;12_22;Schl;#1
12;23;12_23;HE;#2
12;24;12_24;Tu-Wal;Control
12;25;12_25;Col0_acd6;#1
12;26;12_26;Schl;Control
12;27;12_27;Col0_acd6;Control
12;28;12_28;Lu;Control
12;29;12_29;Eyach;Control
12;3;12_3;sid2-2;#2
12;30;12_30;Tu-Wal;#1
12;31;12_31;HE;#1
12;32;12_32;Lu;#2
12;33;12_33;Tu-Wal_acd6;#3
12;34;12_34;Kus;Control
12;35;12_35;Col0_acd6;#2
12;36;12_36;HE;Control
12;37;12_37;Tu-Wal_acd6;#2
12;38;12_38;HE;#3
12;39;12_39;Kus;#2
12;4;12_4;Tu-Wal_ics1;Control
12;40;12_40;HE;#1+s13
12;41;12_41;Col0;#3
12;42;12_42;Col0_acd6;#3
12;43;12_43;sid2-2;Control
12;44;12_44;Tu-Wal_ics1;#1
12;45;12_45;Col0;Control
12;46;12_46;Tu-Wal_ics1;#3
12;47;12_47;Lu;#1
12;48;12_48;Tu-Wal;#2
12;5;12_5;Schl;#3
12;6;12_6;sid2-2;#1
12;7;12_7;sid2-2;#3
12;8;12_8;Eyach;#2
12;9;12_9;Col0;#2
13;1;13_1;Tu-Wal;#3
13;10;13_10;Tu-Wal_ics1;#3
13;11;13_11;Col0_acd6;Control
13;12;13_12;Lu;#3
13;13;13_13;Tu-Wal_acd6;Control
13;14;13_14;Tu-Wal_ics1;#2
13;15;13_15;Col0;#3
13;16;13_16;sid2-2;#3
13;17;13_17;Schl;Control
13;18;13_18;Tu-Wal_acd6;#3
13;19;13_19;Col0_acd6;#3
13;2;13_2;Lu;#1
13;20;13_20;Kus;#1
13;21;13_21;Col0_acd6;#1
13;22;13_22;Col0;Control
13;23;13_23;HE;#1
13;24;13_24;Eyach;Control
13;25;13_25;Schl;#2
13;26;13_26;HE;#3
13;27;13_27;Kus;Control
13;28;13_28;Tu-Wal_ics1;Control
13;29;13_29;Col0_acd6;#2
13;3;13_3;sid2-2;#2
13;30;13_30;Schl;#1
13;31;13_31;HE;#1+s13
13;32;13_32;Schl;#3
13;33;13_33;Tu-Wal;#1
13;34;13_34;Col0;#1
13;35;13_35;HE;#2
13;36;13_36;Col0;#2
13;37;13_37;HE;#1+s15
13;38;13_38;Tu-Wal_acd6;#1
13;39;13_39;sid2-2;#1
13;4;13_4;Kus;#2
13;40;13_40;Eyach;#1
13;41;13_41;Tu-Wal;Control
13;42;13_42;Tu-Wal_ics1;#1
13;43;13_43;Lu;#2
13;44;13_44;HE;Control
13;45;13_45;HE;#1+s14
